Дата;Название;Валюта;Цена
2021-10-22;USD;₽;74,60
2020-10-21;USD;₽;274,60
2021-11-23;USD;₽;71,60
2021-11-24;USD;₽;74,60
2021-11-26;USD;₽;73,60
2021-11-26;PLN;₽;17,92
2021-11-26;AUD;₽;53,71
2021-11-26;AZN;₽;43,91
2021-11-26;BYN;₽;29,71
2021-11-26;BGN;₽;42,80
2021-11-26;EUR;₽;83,68
2021-11-26;GBP;₽;99,54
2021-11-26;CHF;₽;79,94
2021-11-26;BRL;₽;13,31
2021-11-27;USD;₽;75,59
2021-11-27;PLN;₽;18,10
2021-11-27;AUD;₽;53,80
2021-11-27;AZN;₽;44,49
2021-11-27;BYN;₽;29,50
2021-11-27;BGN;₽;43,55
2021-11-27;EUR;₽;84,95
2021-11-27;GBP;₽;100,56
2021-11-27;CHF;₽;81,50
2021-11-27;BRL;₽;13,58
2021-11-29;USD;₽;75,59
2021-11-29;PLN;₽;18,10
2021-11-29;AUD;₽;53,80
2021-11-29;AZN;₽;44,49
2021-11-29;BYN;₽;29,50
2021-11-29;BGN;₽;43,55
2021-11-29;EUR;₽;84,95
2021-11-29;GBP;₽;100,56
2021-11-29;CHF;₽;81,50
2021-11-29;BRL;₽;13,58
2021-12-02;USD;₽;73,97
2021-12-02;PLN;₽;18,03
2021-12-02;AUD;₽;52,85
2021-12-02;AZN;₽;43,54
2021-12-02;BYN;₽;29,11
2021-12-02;BGN;₽;42,82
2021-12-02;EUR;₽;83,84
2021-12-02;GBP;₽;98,33
2021-12-02;CHF;₽;80,44
2021-12-02;BRL;₽;13,15
2021-12-03;USD;₽;74,06
2021-12-03;PLN;₽;18,22
2021-12-03;AUD;₽;52,66
2021-12-03;AZN;₽;43,59
2021-12-03;BYN;₽;29,09
2021-12-03;BGN;₽;42,85
2021-12-03;EUR;₽;83,81
2021-12-03;GBP;₽;98,42
2021-12-03;CHF;₽;80,36
2021-12-03;BRL;₽;13,00
2021-12-03;USD;₽;74,06
2021-12-03;PLN;₽;18,22
2021-12-03;AUD;₽;52,66
2021-12-03;AZN;₽;43,59
2021-12-03;BYN;₽;29,09
2021-12-03;BGN;₽;42,85
2021-12-03;EUR;₽;83,81
2021-12-03;GBP;₽;98,42
2021-12-03;CHF;₽;80,36
2021-12-03;BRL;₽;13,00
2021-12-03;USD;₽;74,06
2021-12-03;PLN;₽;18,22
2021-12-03;AUD;₽;52,66
2021-12-03;AZN;₽;43,59
2021-12-03;BYN;₽;29,09
2021-12-03;BGN;₽;42,85
2021-12-03;EUR;₽;83,81
2021-12-03;GBP;₽;98,42
2021-12-03;CHF;₽;80,36
2021-12-03;BRL;₽;13,00
2021-12-03;USD;₽;74,06
2021-12-03;PLN;₽;18,22
2021-12-03;AUD;₽;52,66
2021-12-03;AZN;₽;43,59
2021-12-03;BYN;₽;29,09
2021-12-03;BGN;₽;42,85
2021-12-03;EUR;₽;83,81
2021-12-03;GBP;₽;98,42
2021-12-03;CHF;₽;80,36
2021-12-03;BRL;₽;13,00
