Date,Name,Valute,Price
2021-12-10,American Express Company (AXP),$,167.92
2021-12-10,Amgen Inc (AMGN),$,212.57
2021-12-10,3M Company (MMM),$,175.90
2021-12-10,Apple Inc (AAPL),$,174.56
2021-12-10,Boeing Co (BA),$,207.57
2021-12-10,Caterpillar Inc (CAT),$,204.13
2021-12-10,Chevron Corp (CVX),$,118.14
2021-12-10,Coca-Cola Co (KO),$,54.85
2021-12-10,Dow Inc (DOW),$,54.39
2021-12-10,Goldman Sachs Group Inc (GS),$,396.49
2021-12-10,Home Depot Inc (HD),$,411.26
2021-12-10,Honeywell International Inc (HON),$,206.00
2021-12-10,International Business Machines (IBM),$,123.58
2021-12-10,Intel Corporation (INTC),$,50.48
2021-12-10,Johnson & Johnson (JNJ),$,165.97
2021-12-10,JPMorgan Chase & Co (JPM),$,160.46
2021-12-10,McDonald’s Corporation (MCD),$,262.37
2021-12-10,Merck & Company Inc (MRK),$,72.86
2021-12-10,Microsoft Corporation (MSFT),$,333.10
2021-12-10,Nike Inc (NKE),$,168.12
2021-12-10,Procter & Gamble Company (PG),$,153.32
2021-12-10,Salesforce.com Inc (CRM),$,264.44
2021-12-10,The Travelers Companies Inc (TRV),$,153.40
2021-12-10,UnitedHealth Group Incorporated (UNH),$,473.56
2021-12-10,Verizon Communications Inc (VZ),$,50.15
2021-12-10,Visa Inc Class A (V),$,211.41
2021-12-10,Walgreens Boots Alliance Inc (WBA),$,49.17
2021-12-10,Walmart Inc (WMT),$,138.45
2021-12-10,Walt Disney Company (DIS),$,153.00
2021-12-10,Ford Motor Company (F),$,19.57
2021-12-10,NVIDIA Corporation (NVDA),$,304.90
2021-12-10,Cisco Systems Inc (CSCO),$,57.55
2021-12-10,Vale SA ADR (VALE),$,13.49
2021-12-10,Pfizer Inc (PFE),$,52.07
2021-12-10,Bank of America Corp (BAC),$,44.48
2021-12-10,Activision Blizzard Inc (ATVI),$,59.07
2021-12-10,General Motors Company (GM),$,59.62
2021-12-10,Tesla Inc (TSLA),$,1.003.80
2021-12-10,United States Steel Corporation (X),$,23.04
2021-12-10,Micron Technology Inc (MU),$,84.93
2021-12-10,Transocean Ltd (RIG),$,3.070
2021-12-10,Western Union Co (WU),$,18.03
2021-12-10,Discovery Communications C Inc (DISCK),$,22.69
2021-12-10,Altria Group (MO),$,44.58
2021-12-10,Coterra Energy Inc (CTRA),$,20.81
2021-12-10,JetBlue Airways Corp (JBLU),$,14.42
2021-12-10,Oracle Corporation (ORCL),$,88.74
2021-12-10,Amazon.com Inc (AMZN),$,3.483.42
2021-12-10,Philip Morris International Inc (PM),$,89.52
2021-12-10,Starbucks Corporation (SBUX),$,115.35
